twz0_Axial_Position_dat(um),twz0_Axial_Stark_shift_dat(MHz),twz1_Axial_Position_dat(um),twz1_Axial_Stark_shift_dat(MHz),twz2_Axial_Position_dat(um),twz2_Axial_Stark_shift_dat(MHz),twz3_Axial_Position_dat(um),twz3_Axial_Stark_shift_dat(MHz),twz4_Axial_Position_dat(um),twz4_Axial_Stark_shift_dat(MHz)
-0.381,-1.1551630368658172,-0.381,5.690941144284178,-0.381,21.9271960513034,-0.381,37.389180053346166,-0.381,31.907284187844585
-0.37206532663316577,-1.1688251761783595,-0.37206532663316577,5.708592983918058,-0.37206532663316577,21.990253065811523,-0.37206532663316577,37.47695086471475,-0.37206532663316577,31.83995897318599
-0.36313065326633165,-1.1799163489527775,-0.36313065326633165,5.716005681228157,-0.36313065326633165,22.021669875262077,-0.36313065326633165,37.52398580866202,-0.36313065326633165,31.731489957849696
-0.3541959798994975,-1.1883290249302338,-0.3541959798994975,5.71314171335467,-0.3541959798994975,22.02128645268884,-0.3541959798994975,37.53003881855099,-0.3541959798994975,31.582401520748338
-0.34526130653266335,-1.1939816422016523,-0.34526130653266335,5.700015577620299,-0.34526130653266335,21.98910475112117,-0.34526130653266335,37.49507822763217,-0.34526130653266335,31.393414409943375
-0.33632663316582917,-1.196819397960272,-0.33632663316582917,5.676693718145232,-0.33632663316582917,21.925288693635913,-0.33632663316582917,37.41928693471042,-0.33632663316582917,31.16544225828524
-0.32739195979899494,-1.196814779821474,-0.32739195979899494,5.643294189508923,-0.32739195979899494,21.83016333838678,-0.32739195979899494,37.3030614472969,-0.32739195979899494,30.89958716657779
-0.31845728643216076,-1.193967832558672,-0.31845728643216076,5.599986059161215,-0.31845728643216076,21.704213222864283,-0.31845728643216076,37.147009807251976,-0.31845728643216076,30.59713437561973
-0.3095226130653267,-1.1883061576692266,-0.3095226130653267,5.546988551607794,-0.3095226130653267,21.54807989582002,-0.3095226130653267,36.951948409771205,-0.3095226130653267,30.259546052880303
-0.30058793969849246,-1.1798846457745993,-0.30058793969849246,5.484569938702065,-0.30058793969849246,21.362558649426877,-0.30058793969849246,36.71889773235612,-0.30058793969849246,29.888454223846647
