Delta/Gamma,photon counts/10^3 (odt=0),photon counts/10^3 (odt=1),photon counts/10^3 (odt=2),photon counts/10^3 (odt=3),photon counts/10^3 (odt=4),photon counts/10^3 (odt=5)
-13.0,7.602219212704663,8.888624471828116,10.297327062233395,11.701806840078172,13.531409636677814,16.24525327727966
-12.858585858585858,7.716695354806952,9.028933335884506,10.471724226546904,11.92032080228997,13.816290909704943,16.624403709578214
-12.717171717171718,7.833776816396528,9.17259082052236,10.650589628375982,12.145013042645934,14.1102643586559,17.016984286027323
-12.575757575757576,7.953543259402952,9.319704337535196,10.834077222823709,12.376118688784466,14.413721050675267,17.42363686866407
-12.434343434343434,8.076077413937602,9.470385640241844,11.02234765330271,12.613884161058927,14.72707330666703,17.8450421281006
-12.292929292929292,8.201465221199117,9.624751035779854,11.215568603263252,12.858567829684935,15.050756102634601,18.28192239371047
-12.151515151515152,8.329795984204916,9.78292160960939,11.413915169691629,13.110440716938484,15.385228580012328,18.73504475104923
-12.01010101010101,8.461162526842552,9.945023463036659,11.617570259932583,13.369787247969542,15.730975674785158,19.20522441132619
-11.868686868686869,8.59566136176974,10.111187964627184,11.826725013515357,13.636906054116004,16.088509876195154,19.693328380582066
-11.727272727272727,8.733392867730403,10.28155201644489,12.041579250800199,13.912110832955959,16.45837312695052,20.20027945943067
-11.585858585858587,8.874461476894853,10.456258336124716,12.262341950412113,14.19573126972477,16.841138878099787,20.72706060784352
-11.444444444444445,9.018975872877252,10.635455755864127,12.48923175759239,14.488114025152306,17.237414313127413,21.27471971355555
-11.303030303030303,9.167049200131355,10.819299539503236,12.722477525777414,14.789623795249147,17.64784275738656,21.844374807317944
-11.161616161616163,9.318799285478033,11.007951718955283,12.962318893910243,15.100644449093593,18.07310629073234,22.43721977350274
-11.02020202020202,9.47434887257455,11.201581451348696,13.20900690220504,15.42158025125031,18.51392858317922,23.054530610568563
-10.878787878787879,9.63382587019685,11.40036539835105,13.462804649319446,15.752857176092045,18.97107797560869,23.697672302738667
-10.737373737373737,9.7973636152729,11.60448812926342,13.723987994148173,16.09492432200672,19.445370830031543,24.368106372052605
-10.595959595959595,9.965101151677068,11.814142549602934,13.9928463057342,16.448255434260375,19.937675176700033,25.067399188882845
-10.454545454545455,10.137183525874347,12.029530357032133,14.269683265105241,16.813350546162635,20.448914688514833,25.797231129237865
-10.313131313131313,10.313762100588246,12.25086252664773,14.554817723185629,17.190737749155577,20.98007301672999,26.55940667891443
-10.171717171717171,10.494994887759278,12.478359827809436,14.848584619310436,17.580975103531742,21.53219852598526,27.355865598062934
-10.030303030303031,10.681046902161812,12.712253374873544,15.151335965284279,17.984652702696465,22.10640947125877,28.188695275286197
-9.88888888888889,10.872090537157291,12.952785214397217,15.463441900385131,18.40239490523963,22.70389966451266,29.06014441835248
-9.747474747474747,11.068305964181768,13.200208951599976,15.78529182321931,18.83486275059013,23.32594468469367,29.972638249383248
-9.606060606060606,11.269881557696651,13.454790419110827,16.117295606892863,19.28275657571458,23.973908691458153,30.92879539647042
-9.464646464646465,11.477014347474647,13.716808391294652,16.459884904582772,19.746818852212144,24.64925191064262,31.931446701676276
-9.323232323232324,11.689910500249011,13.986555347743142,16.813514553276384,20.227837265278993,25.35353886824601,32.98365619798018
-9.181818181818182,11.908785832925126,14.26433828983574,17.178664084206375,20.726648058398183,26.088447459701904,34.08874454580941
-9.040404040404042,12.133866359740528,14.550479614628838,17.555839349351288,21.244139670291034,26.855778952703428,35.25031526435007
-8.8989898989899,12.36538887596428,14.845318050719541,17.945574274307504,21.781256693684938,27.657469035041863,36.472284145114436
-8.757575757575758,12.603601580951164,15.149209661158311,18.34843274887948,22.339004188857565,28.495600034117608,37.75891229674114
-8.616161616161616,12.848764743612724,15.46252891895719,18.76501066789454,22.918452388764855,29.372414452318193,39.11484334254557
-8.474747474747474,13.101151413637742,15.78566986126173,19.19593813604051,23.520741836911995,30.290329982733102,40.545145378138045
-8.333333333333334,13.361048182092183,16.11904732883145,19.641881851966996,24.14708900405875,31.25195619316838,42.05535839820444
-8.191919191919192,13.628755995356057,16.46309829811196,20.103547688503095,24.798792435447602,32.26011309370624,43.651548022631104
-8.050505050505052,13.90459102671488,16.818283313888667,20.581683487647556,25.477239486605896,33.31785183480829,45.3403664966609
-7.909090909090909,14.188885610320856,17.185088031296466,21.0770820910084,26.183913713018555,34.42847782000697,47.12912211277177
-7.767676767676768,14.481989242676944,17.564024876829986,21.590584628635273,26.920402987231327,35.595576560552544,49.025858409776646
-7.626262626262626,14.784269657281248,17.95563483896696,22.123084091734423,27.688408426388083,36.82304265017531,51.039444755118666
-7.484848484848485,15.09611397860392,18.360489400093737,22.67552921761984,28.48975422401334,38.1151122978236,53.17968021930929
-7.343434343434343,15.417929962161157,18.7791926226215,23.24892871848064,29.3263984922479,39.476399926598596,55.45741301930016
-7.202020202020202,15.750147328106424,19.212383403519528,23.84435588918368,30.200445234987644,40.91193943025794,57.88467825589619
-7.0606060606060606,16.093219196486615,19.66073791298579,24.46295363344191,31.114157588772628,42.427230777206724,60.47485721891133
-6.91919191919192,16.44762363311798,20.124972234645178,25.105939952330267,32.06997248718871,44.02829276903085,63.2428622078722
-6.777777777777778,16.813865315934056,20.605845226535752,25.774613944402,33.07051692640944,45.72172290028642,66.20535164801463
-6.636363636363637,17.19247733265596,21.10416162423886,26.470362372640206,34.118626034835245,47.514765433295345,69.38098131271627
-6.494949494949495,17.584023121747535,21.620775409861544,27.194666860280297,35.21736317919523,49.415389002134276,72.79069874825986
-6.353535353535354,17.989098569857447,22.15659347322338,27.949111785282504,36.3700423736955,51.432375301336734,76.45808960509927
-6.212121212121213,18.408334280335314,22.71257959457513,28.73539295206671,37.58025329871046,53.5754207064268,80.40978660353795
-6.070707070707071,18.842398028956033,23.289758781530466,29.555327129214515,38.85188928217628,55.855253027027494,84.67595442209773
-5.92929292929293,19.291997424719263,23.889221996676483,30.410862553397305,40.189178651538356,58.283766023766496,89.29086705464752
-5.787878787878788,19.757882795532208,24.512131316607782,31.30409051303889,41.59671992837312,60.874174846316855,94.29359835237291
