bins(photon_counts/10^3),hist_atom(pre_selected),hist_atom(post_selected)
-12.0,,
-10.74074074074074,0.0,0.0
-9.481481481481481,0.0022662889518413596,0.0
-8.222222222222221,0.0011331444759206798,0.0
-6.962962962962963,0.004532577903682719,0.0
-5.703703703703703,0.0113314447592068,0.0
-4.444444444444445,0.020963172804532578,0.0
-3.185185185185185,0.04589235127478754,0.0
-1.9259259259259256,0.08158640226628895,0.0
-0.6666666666666661,0.08158640226628895,0.0
0.5925925925925934,0.09291784702549576,0.0
1.851851851851853,0.07932011331444759,0.0
3.1111111111111107,0.053257790368271954,0.0
4.37037037037037,0.04589235127478754,0.00396600566572238
5.62962962962963,0.040226628895184136,0.01529745042492918
6.888888888888889,0.038526912181303115,0.01586402266288952
8.148148148148149,0.04985835694050991,0.039660056657223795
9.407407407407408,0.08158640226628895,0.059490084985835696
10.666666666666668,0.08101983002832862,0.06005665722379604
11.925925925925927,0.0679886685552408,0.053824362606232294
13.185185185185187,0.04815864022662889,0.037393767705382434
14.444444444444446,0.040226628895184136,0.0339943342776204
15.703703703703706,0.017563739376770537,0.01529745042492918
16.962962962962965,0.009631728045325779,0.009065155807365438
18.22222222222222,0.0033994334277620396,0.0022662889518413596
19.48148148148148,0.0011331444759206798,0.0011331444759206798
20.74074074074074,0.0,0.0
22.0,0.0,0.0
