Radial_Position_fit(um),Radial_Stark_shift_fit(MHz)
-92.0,1.9660617296627427e-11
-90.14141414141415,6.04095606067988e-11
-88.28282828282828,1.8141159870341889e-10
-86.42424242424244,5.324456345964326e-10
-84.56565656565657,1.5273421502101674e-09
-82.70707070707071,4.282015648302271e-09
-80.84848484848484,1.1733052374719375e-08
-78.98989898989899,3.142133369381518e-08
-77.13131313131312,8.224112962346278e-08
-75.27272727272727,2.103799586128911e-07
-73.41414141414141,5.259815494615335e-07
-71.55555555555556,1.285249670684822e-06
-69.6969696969697,3.069413075095439e-06
-67.83838383838383,7.164304278771697e-06
-65.97979797979798,1.6343443011021767e-05
-64.12121212121212,3.643878853012976e-05
-62.262626262626256,7.940267849125322e-05
-60.4040404040404,0.00016910530115030192
-58.54545454545455,0.0003519898481117716
-56.686868686868685,0.000716067396523113
-54.82828282828282,0.0014237328600642217
-52.96969696969696,0.002766648358382656
-51.111111111111114,0.005254486312382997
-49.252525252525245,0.00975343092937646
-47.39393939393939,0.017694382324512203
-45.53535353535353,0.03137359221172657
-43.676767676767675,0.054368072238293846
-41.81818181818181,0.09208194147526526
-39.95959595959595,0.152424874845736
-38.101010101010104,0.2465971614089776
-36.24242424242424,0.3899160798062832
-34.38383838383838,0.6025666124927063
-32.52525252525252,0.910101498421221
-30.66666666666666,1.3434621672514844
-28.8080808080808,1.938259399962377
-26.94949494949494,2.733060233389434
-25.09090909090909,3.7664946405632316
-23.23232323232323,5.073134199506535
-21.37373737373737,6.678304150633418
-19.51515151515151,8.592249591040256
-17.656565656565647,10.804344423695404
-15.797979797979787,13.278248828150874
-13.939393939393938,15.949021071132488
-12.080808080808076,18.723115101091942
-10.222222222222216,21.481916733197117
-8.363636363636356,24.089001405408943
-6.505050505050496,26.400698136152904
-4.6464646464646355,28.27892345067994
-2.7878787878787854,29.604735108332886
-0.9292929292929251,30.290771380561193
0.9292929292929353,30.290771380561193
2.787878787878806,29.60473510833287
4.646464646464656,28.278923450679923
6.505050505050506,26.400698136152894
8.363636363636378,24.089001405408915
10.222222222222227,21.481916733197103
12.080808080808097,18.72311510109191
13.939393939393948,15.949021071132472
15.797979797979798,13.278248828150861
17.656565656565668,10.804344423695376
19.51515151515152,8.592249591040243
21.373737373737388,6.678304150633399
23.23232323232324,5.073134199506527
25.090909090909108,3.7664946405632205
26.94949494949496,2.7330602333894247
28.80808080808081,1.9382593999623734
30.66666666666668,1.3434621672514793
32.52525252525253,0.910101498421219
34.3838383838384,0.6025666124927034
36.24242424242425,0.3899160798062821
38.10101010101012,0.24659716140897608
39.95959595959597,0.15242487484573516
41.81818181818182,0.09208194147526493
43.676767676767696,0.0543680722382935
45.53535353535354,0.03137359221172646
47.39393939393941,0.017694382324512092
49.25252525252526,0.009753430929376371
51.111111111111114,0.005254486312382997
52.96969696969698,0.002766648358382637
54.82828282828284,0.0014237328600642167
56.686868686868706,0.000716067396523108
58.545454545454554,0.0003519898481117697
60.40404040404042,0.00016910530115030043
62.26262626262628,7.940267849125267e-05
64.12121212121212,3.643878853012976e-05
65.979797979798,1.6343443011021594e-05
67.83838383838385,7.1643042787716705e-06
69.69696969696972,3.0694130750954067e-06
71.55555555555557,1.285249670684813e-06
73.41414141414144,5.259815494615261e-07
75.27272727272728,2.1037995861288963e-07
77.13131313131314,8.224112962346218e-08
78.989898989899,3.142133369381473e-08
80.84848484848486,1.1733052374719291e-08
82.70707070707073,4.28201564830221e-09
84.56565656565658,1.5273421502101567e-09
86.42424242424244,5.324456345964326e-10
88.2828282828283,1.8141159870341695e-10
90.14141414141415,6.040956060679858e-11
92.0,1.9660617296627427e-11
