m,o,l,_,f,r,e,q,_,d,e,t, ,=, ,-,6,4,.,7,9,5,0,0,0,0,0,0,0,0,0,0,2
1.8787802680391386,1.957351696610567,0.9680659823248529,1.2859231251819956,2.193065982324853,0.9144945537534243,2.5323516966105672,1.4394945537534243,0.9037802680391386,0.8144945537534243,1.6930659823248528,1.22520883946771,0.6394945537534242,1.9323516966105672,1.3894945537534242,1.3537802680391386,1.8430659823248527,1.6359231251819957,2.3609231251819955,1.8787802680391386,2.035923125181996,2.018065982324853,2.1359231251819955,1.6894945537534243,1.1287802680391386,2.2216374108962813,1.6644945537534241,1.8430659823248527,1.6073516966105672,1.8573516966105672,1.7144945537534242,1.6609231251819956,1.6787802680391386,1.4430659823248528,1.5966374108962813,2.639494553753424,1.8644945537534243,2.371637410896281,2.9859231251819955,1.7609231251819957,2.121637410896281,1.7394945537534243,1.4430659823248528,2.4359231251819957,1.3394945537534242,1.5359231251819956,1.2644945537534242,1.4287802680391386,1.25020883946771,1.6644945537534241,2.018065982324853,2.8787802680391383,1.4323516966105672,2.6466374108962816,1.2287802680391386,1.8787802680391386,1.8680659823248529,1.657351696610567,1.42520883946771,1.75020883946771,1.7966374108962815,1.4644945537534242,1.70020883946771,1.457351696610567,2.35020883946771,1.7394945537534243,1.5609231251819957,1.8037802680391386,2.607351696610567,1.3859231251819957,2.143065982324853,2.5787802680391385,2.568065982324853,0.6037802680391385,1.4037802680391385,2.17520883946771,2.089494553753424,2.121637410896281,2.9359231251819957,2.17520883946771,2.4287802680391386,2.293065982324853,1.2466374108962814,1.4323516966105672,1.7716374108962814,1.2716374108962814,2.1537802680391387,2.47520883946771,1.0573516966105672,1.8966374108962814,2.307351696610567,1.9430659823248528,1.4287802680391386,0.9787802680391385,2.1037802680391384,1.3644945537534243,2.0787802680391385,1.37520883946771,2.464494553753424,1.9466374108962814,1.5037802680391386,1.6716374108962815,2.10020883946771,1.4394945537534243,2.1359231251819955,2.5859231251819956,1.77520883946771,1.5287802680391385,1.3502088394677099,1.8359231251819956,1.9144945537534241,1.37520883946771,2.8787802680391383,0.8859231251819957,1.9966374108962814,1.7287802680391384,1.3287802680391385,0.6144945537534243,1.8930659823248528,1.3359231251819956,1.77520883946771,1.6394945537534242,2.7716374108962816,2.082351696610567,2.4716374108962813,1.3359231251819956,2.6573516966105672,2.3752088394677098,1.9430659823248528,1.80020883946771,1.7573516966105671,1.7430659823248529,1.50020883946771,2.4716374108962813,1.5680659823248528,1.70020883946771,1.6180659823248529,2.389494553753424,1.6430659823248528,1.4930659823248529,0.8394945537534243,1.65020883946771,2.8037802680391386,2.614494553753424,2.143065982324853,2.3037802680391386,2.182351696610567,2.107351696610567,2.5787802680391385,2.068065982324853,1.7323516966105672,1.543065982324853,2.4680659823248527,2.0716374108962814,1.8930659823248528,2.143065982324853,2.1859231251819957,2.339494553753424,0.5609231251819957,1.293065982324853,2.0859231251819956,1.8787802680391386,1.75020883946771,2.589494553753424,2.5787802680391385,1.6609231251819956,2.6180659823248527,2.4466374108962814,2.393065982324853,2.1359231251819955,0.8680659823248529,2.2109231251819956,1.6002088394677099,2.839494553753424,2.1037802680391384,1.82520883946771,1.6109231251819958,2.0216374108962816,2.40020883946771,1.7859231251819956,2.1037802680391384,1.7787802680391385,1.1859231251819957,2.4073516966105672,2.52520883946771,2.47520883946771,2.018065982324853,0.6680659823248528,2.60020883946771,2.246637410896281,1.9930659823248529,2.3109231251819957,1.3287802680391385,2.4287802680391386,2.1537802680391387,1.3787802680391386,1.5287802680391385,2.2287802680391384,1.7287802680391384,2.043065982324853,1.3680659823248529,1.5966374108962813,1.9537802680391385,1.6823516966105672,1.5037802680391386,1.4894945537534243,1.4109231251819956,2.42520883946771,2.3466374108962813,1.7323516966105672,2.0859231251819956,2.0537802680391386,2.80020883946771,0.9787802680391385,2.2287802680391384,2.443065982324853,1.282351696610567,2.3859231251819955,1.6966374108962814,2.3609231251819955,0.9430659823248528,1.6823516966105672,2.357351696610567,0.9073516966105671,1.3037802680391386,2.8144945537534243,0.7680659823248529,1.7716374108962814,2.6252088394677098,2.482351696610567,0.9216374108962814,2.57520883946771,0.8894945537534242,1.6644945537534241,1.8573516966105672,1.4894945537534243,1.1716374108962815,1.62520883946771,2.0394945537534244,1.7359231251819958,2.371637410896281,2.057351696610567,1.7573516966105671,1.3287802680391385,2.2537802680391383,1.9787802680391384,2.4716374108962813,1.4787802680391386,1.2859231251819956,1.05020883946771,0.8180659823248528,2.018065982324853,1.0966374108962813,3.432351696610567,1.7859231251819956,1.3573516966105672,1.8502088394677099,1.75020883946771,2.0394945537534244,2.2287802680391384,2.4466374108962814,1.1716374108962815,1.3537802680391386,1.9966374108962814,1.9787802680391384,2.0216374108962816,2.0394945537534244,1.7144945537534242,1.9930659823248529,2.3752088394677098,2.7609231251819955,1.9430659823248528,1.7644945537534242,2.0109231251819955,1.82520883946771,1.9216374108962815,1.9394945537534243,1.3073516966105672,1.7037802680391385,1.4644945537534242,2.80020883946771,1.07520883946771,1.6144945537534243,1.3644945537534243,2.77520883946771,1.5859231251819956,1.9144945537534241,2.6430659823248526,1.3430659823248527,1.7216374108962813,1.9359231251819957,2.4609231251819956,1.70020883946771,2.168065982324853,1.5930659823248527,2.068065982324853,1.6359231251819957,1.5109231251819957,3.193065982324853,2.393065982324853,1.9859231251819958,2.1573516966105672,1.05020883946771,1.8644945537534243,2.10020883946771,1.4680659823248527,1.5894945537534242,1.4216374108962815,1.543065982324853,1.82520883946771,1.668065982324853,2.3609231251819955,1.67520883946771,1.0644945537534243,1.50020883946771,1.3144945537534243,0.9644945537534243,1.32520883946771,0.95020883946771,1.6002088394677099,1.2323516966105672,2.4037802680391387,2.6787802680391386,2.614494553753424,2.614494553753424,0.8144945537534243,1.2323516966105672,2.0787802680391385,1.832351696610567,1.7144945537534242,2.1037802680391384,1.3609231251819958,2.182351696610567,1.5216374108962814,1.50020883946771,2.264494553753424,2.3466374108962813,0.8787802680391386,2.1966374108962814,3.014494553753424,2.9037802680391387,1.4716374108962813,1.032351696610567,0.7144945537534243,1.45020883946771,1.52520883946771,1.8502088394677099,1.6323516966105671,2.4359231251819957,0.8680659823248529,1.457351696610567,1.7787802680391385,1.6644945537534241,1.4859231251819958,2.0287802680391387,2.507351696610567,1.55020883946771,1.5966374108962813,1.7716374108962814,1.8609231251819958,1.5359231251819956,2.257351696610567,1.95020883946771,2.535923125181996,2.4466374108962814,2.1859231251819957,1.5037802680391386,1.8537802680391384,1.6823516966105672,2.0537802680391386,1.55020883946771,2.7287802680391384,1.293065982324853,2.332351696610567,2.1287802680391383,2.07520883946771,2.0787802680391385,1.6894945537534243,0.9323516966105672,1.3573516966105672,1.6394945537534242,1.8823516966105671,1.9680659823248527,1.3109231251819957,1.27520883946771,2.35020883946771,2.2109231251819956,1.4894945537534243,1.6859231251819957,2.5609231251819957,2.1966374108962814,2.182351696610567,1.8573516966105672,2.1787802680391386,2.007351696610567,1.4859231251819958,1.5573516966105672,1.50020883946771,1.6894945537534243,2.132351696610567,1.6109231251819958,2.639494553753424,1.9787802680391384,2.3680659823248527,1.6216374108962814,2.0287802680391387,2.2109231251819956,2.364494553753424,1.8394945537534242,1.5180659823248528,1.282351696610567,1.9894945537534243,2.257351696610567,1.957351696610567,1.95020883946771,1.6359231251819957,1.5859231251819956,1.6287802680391386,1.0787802680391385,1.1609231251819956,2.818065982324853,2.32520883946771,1.957351696610567,1.9823516966105672,1.7537802680391386,2.307351696610567,2.9073516966105672,0.9144945537534243,1.7144945537534242,1.1894945537534243,1.6037802680391386,1.4537802680391385,2.5644945537534243,1.65020883946771,2.682351696610567,1.5109231251819957,1.2287802680391386,1.50020883946771,2.082351696610567,1.1930659823248528,2.389494553753424,1.9894945537534243,2.443065982324853,1.6323516966105671,2.389494553753424,1.5573516966105672,1.6216374108962814,1.4537802680391385,0.8930659823248528,2.232351696610567,1.45020883946771,1.5037802680391386,1.7859231251819956,1.7966374108962815,1.1859231251819957,2.246637410896281,2.168065982324853,0.8394945537534243,1.6859231251819957,3.2180659823248527,1.7787802680391385,2.3430659823248527,0.9966374108962814,2.9144945537534244,2.0716374108962814,1.168065982324853,2.6359231251819955,3.2537802680391383,1.6716374108962815,0.9466374108962814,1.9787802680391384,2.0466374108962815,2.0644945537534243,3.035923125181996,2.2966374108962815,1.832351696610567,1.20020883946771,1.3680659823248529,1.4323516966105672,2.160923125181996,1.832351696610567,1.9537802680391385,1.4716374108962813,2.55020883946771,1.87520883946771,1.9430659823248528,2.3287802680391385,1.8144945537534243,1.657351696610567,1.5073516966105671,1.2144945537534242,1.9823516966105672,1.3394945537534242,1.3680659823248529,1.8466374108962813,1.782351696610567,2.3537802680391384,1.42520883946771,1.3859231251819957,1.543065982324853,1.7359231251819958,1.4216374108962815,1.532351696610567,1.6073516966105672,2.10020883946771,1.8037802680391386,2.514494553753424,2.1466374108962816,1.5216374108962814,1.42520883946771,1.9930659823248529,1.6287802680391386,1.7144945537534242,2.7680659823248526,1.6609231251819956,1.6823516966105672,1.1430659823248528,1.918065982324853,1.0394945537534244,2.4680659823248527,1.6537802680391385,2.85020883946771,1.9787802680391384,3.418065982324853,2.0037802680391383,1.82520883946771,1.3287802680391385,2.418065982324853,1.793065982324853,2.214494553753424,1.4323516966105672,2.089494553753424,1.4787802680391386,2.871637410896281,1.6430659823248528,1.9787802680391384,2.8930659823248526,2.40020883946771,1.00020883946771,2.4037802680391387,1.6823516966105672,2.114494553753424,2.1894945537534243,1.168065982324853,1.6930659823248528,1.5144945537534242,2.0716374108962814,1.0537802680391386,1.707351696610567,1.5609231251819957,1.5287802680391385,2.2823516966105672,1.7394945537534243,1.3430659823248527,1.7859231251819956,1.4823516966105672,1.0287802680391385,1.27520883946771,1.6144945537534243,1.5394945537534241,1.3537802680391386,1.7394945537534243,1.0644945537534243,1.8680659823248529,2.4537802680391385,2.0323516966105672,2.9037802680391387,2.1037802680391384,2.057351696610567,1.87520883946771,1.7323516966105672,1.8823516966105671,2.3859231251819955,2.8966374108962816,1.90020883946771,1.8180659823248528,2.1287802680391383,1.4644945537534242,1.793065982324853,1.4966374108962814,2.0537802680391386,2.1109231251819955,1.9466374108962814,1.907351696610567,1.7394945537534243,2.2037802680391385,2.364494553753424,1.782351696610567,2.160923125181996,2.7894945537534244,1.9430659823248528,2.3466374108962813,1.6359231251819957,2.3287802680391385,1.5966374108962813,1.6787802680391386,2.1716374108962815,2.793065982324853,1.2359231251819958,1.7537802680391386,2.160923125181996,1.3573516966105672,1.7573516966105671,2.2109231251819956,2.457351696610567,0.8644945537534243,2.52520883946771,2.15020883946771,1.8609231251819958,1.9930659823248529,1.5859231251819956,1.9787802680391384,1.5716374108962814
m,o,l,_,f,r,e,q,_,d,e,t, ,=, ,-,2,3,.,7,2,5,0,0,0,0,0,0,0,0,0,0,1
5.1394945537534245,4.818065982324852,5.632351696610567,4.285923125181996,4.568065982324852,5.785923125181996,4.428780268039138,6.796637410896281,4.8859231251819955,4.653780268039139,5.043065982324853,4.8252088394677095,5.2609231251819955,4.982351696610567,6.043065982324853,4.857351696610567,4.8252088394677095,4.42520883946771,6.064494553753424,4.621637410896281,4.753780268039138,5.00020883946771,4.982351696610567,5.032351696610567,4.568065982324852,5.0144945537534245,5.789494553753424,6.378780268039138,5.914494553753424,4.818065982324852,6.321637410896281,5.218065982324853,6.232351696610567,5.685923125181995,5.0144945537534245,6.414494553753424,5.628780268039138,5.335923125181996,6.27520883946771,5.193065982324852,4.768065982324853,6.171637410896281,6.0787802680391385,5.00020883946771,5.807351696610567,5.443065982324852,5.553780268039138,6.221637410896281,6.053780268039138,6.157351696610567,4.296637410896281,5.928780268039138,5.943065982324852,4.807351696610567,4.814494553753424,5.918065982324853,5.15020883946771,4.90020883946771,5.5109231251819955,5.778780268039139,5.668065982324853,5.393065982324853,5.393065982324853,5.757351696610567,5.789494553753424,5.071637410896281,5.893065982324853,5.603780268039138,4.771637410896282,5.457351696610567,5.985923125181996,4.857351696610567,4.468065982324853,5.207351696610567,5.646637410896282,4.910923125181996,5.221637410896281,4.843065982324853,5.214494553753424,5.8894945537534245,5.939494553753424,5.8252088394677095,5.896637410896282,6.0144945537534245,4.42520883946771,5.72520883946771,4.818065982324852,5.982351696610567,5.6359231251819955,5.743065982324853,5.960923125181996,5.771637410896282,5.657351696610567,6.171637410896281,5.285923125181996,5.221637410896281,5.493065982324853,5.55020883946771,4.921637410896281,5.853780268039138,4.72520883946771,5.718065982324853,5.710923125181996,5.10020883946771,4.993065982324853,5.8252088394677095,5.414494553753424,5.671637410896281,5.089494553753424,4.610923125181996,5.332351696610567,4.728780268039139,4.978780268039139,5.628780268039138,4.621637410896281,5.2002088394677095,5.460923125181996,4.7609231251819955,4.771637410896282,5.710923125181996,4.271637410896282,5.046637410896281,5.671637410896281,5.0109231251819955,5.8252088394677095,5.282351696610567,5.557351696610567,4.7609231251819955,5.218065982324853,4.871637410896281,5.228780268039139,5.685923125181995,5.596637410896281,5.618065982324853,4.42520883946771,4.310923125181995,5.789494553753424,4.8252088394677095,4.918065982324853,5.589494553753424,4.664494553753424,5.846637410896281,4.553780268039138,5.968065982324853,5.107351696610567,4.314494553753424,5.753780268039138,6.728780268039138,5.228780268039139,5.257351696610567,5.332351696610567,5.239494553753424,5.553780268039138,4.653780268039139,5.443065982324852,6.485923125181995,5.464494553753424,4.743065982324853,4.6394945537534245,6.032351696610567,5.318065982324852,4.910923125181996,5.235923125181996,4.793065982324853,5.121637410896281,5.628780268039138,5.814494553753424,6.093065982324853,5.814494553753424,5.446637410896281,5.257351696610567,5.868065982324853,5.146637410896282,5.603780268039138,5.089494553753424,4.55020883946771,5.607351696610567,4.671637410896281,5.032351696610567,5.52520883946771,5.37520883946771,4.910923125181996,5.535923125181996,4.739494553753424,4.685923125181995,6.143065982324853,3.9787802680391384,6.5752088394677095,6.232351696610567,6.093065982324853,5.482351696610567,4.739494553753424,4.693065982324852,5.668065982324853,6.25020883946771,4.878780268039138,6.0109231251819955,5.718065982324853,5.371637410896281,3.7680659823248526,5.593065982324853,5.27520883946771,5.285923125181996,5.782351696610567,6.05020883946771,4.55020883946771,5.268065982324853,5.25020883946771,5.021637410896282,5.3859231251819955,5.996637410896281,6.0752088394677095,5.12520883946771,4.12520883946771,5.0144945537534245,5.278780268039139,6.471637410896281,5.457351696610567,5.682351696610567,5.482351696610567,5.464494553753424,4.539494553753424,5.489494553753424,4.660923125181996,3.707351696610567,4.007351696610567,5.77520883946771,5.1359231251819955,3.8359231251819956,4.1394945537534245,5.614494553753424,5.307351696610567,4.303780268039138,4.543065982324853,5.843065982324853,6.714494553753424,4.314494553753424,4.632351696610567,4.62520883946771,4.72520883946771,5.27520883946771,4.496637410896281,5.8859231251819955,5.546637410896281,5.303780268039138,6.12520883946771,5.6359231251819955,5.314494553753424,6.968065982324853,5.553780268039138,4.860923125181996,4.893065982324853,5.646637410896282,5.114494553753424,4.914494553753424,5.443065982324852,4.8894945537534245,5.089494553753424,5.785923125181996,5.785923125181996,6.214494553753424,6.60020883946771,6.046637410896281,5.6394945537534245,5.868065982324853,5.42520883946771,4.996637410896281,5.489494553753424,5.818065982324852,6.228780268039138,5.978780268039138,5.793065982324853,4.789494553753424,4.985923125181996,5.321637410896281,6.064494553753424,4.896637410896282,4.618065982324853,5.810923125181995,4.893065982324853,5.128780268039138,4.40020883946771,4.546637410896281,6.060923125181995,5.7002088394677095,3.8537802680391384,4.87520883946771,4.407351696610567,4.785923125181996,5.310923125181995,4.335923125181996,4.7002088394677095,4.107351696610567,5.0752088394677095,5.418065982324853,5.807351696610567,5.353780268039138,4.371637410896281,4.810923125181995,4.532351696610567,4.296637410896281,5.107351696610567,5.410923125181996,4.543065982324853,5.903780268039139,5.882351696610567,6.089494553753424,5.557351696610567,5.2644945537534245,4.821637410896281,4.80020883946771,5.239494553753424,5.789494553753424,4.560923125181995,6.528780268039139,5.810923125181995,6.189494553753424,6.2037802680391385,5.553780268039138,6.02520883946771,6.37520883946771,5.335923125181996,5.6359231251819955,5.496637410896281,5.296637410896281,5.846637410896281,6.218065982324853,4.964494553753424,5.407351696610567,5.210923125181996,7.7037802680391385,5.289494553753424,5.285923125181996,4.65020883946771,5.982351696610567,5.803780268039138,5.27520883946771,5.378780268039138,5.435923125181995,6.293065982324853,5.928780268039138,5.421637410896281,5.503780268039138,5.685923125181995,4.403780268039139,5.028780268039139,4.168065982324853,4.55020883946771,5.1394945537534245,5.182351696610567,4.996637410896281,5.378780268039138,4.868065982324853,4.818065982324852,6.046637410896281,6.382351696610567,4.943065982324852,4.657351696610567,4.97520883946771,6.028780268039139,5.071637410896281,5.214494553753424,5.27520883946771,6.821637410896281,5.2002088394677095,6.003780268039138,5.735923125181996,5.378780268039138,5.368065982324853,5.893065982324853,6.189494553753424,5.7002088394677095,5.8252088394677095,5.628780268039138,6.121637410896281,5.443065982324852,4.860923125181996,5.803780268039138,5.3894945537534245,6.571637410896281,5.060923125181995,5.710923125181996,6.432351696610567,4.785923125181996,5.1359231251819955,4.968065982324853,6.35020883946771,4.921637410896281,5.564494553753424,5.368065982324853,5.478780268039138,6.071637410896281,5.393065982324853,5.043065982324853,5.778780268039139,5.160923125181996,6.103780268039138,5.22520883946771,6.085923125181996,4.968065982324853,4.939494553753424,6.464494553753424,5.218065982324853,5.528780268039139,4.55020883946771,5.196637410896281,5.718065982324853,4.735923125181996,5.310923125181995,4.6394945537534245,5.543065982324853,4.757351696610567,5.585923125181996,5.6394945537534245,5.246637410896281,5.6359231251819955,4.7609231251819955,4.478780268039139,4.814494553753424,5.382351696610567,5.071637410896281,6.335923125181996,6.321637410896281,5.443065982324852,5.743065982324853,5.97520883946771,5.80020883946771,4.728780268039139,5.553780268039138,5.564494553753424,5.971637410896281,5.771637410896282,6.153780268039139,5.157351696610567,5.089494553753424,5.37520883946771,5.235923125181996,5.057351696610567,4.814494553753424,5.446637410896281,5.189494553753424,4.743065982324853,5.932351696610567,5.182351696610567,6.65020883946771,5.718065982324853,5.046637410896281,4.839494553753424,5.393065982324853,5.439494553753424,5.37520883946771,5.721637410896281,4.846637410896281,5.8859231251819955,5.403780268039139,5.503780268039138,4.910923125181996,5.464494553753424,5.582351696610567,4.596637410896281,5.4537802680391385,4.557351696610567,5.582351696610567,5.882351696610567,5.982351696610567,5.160923125181996,5.318065982324852,6.393065982324853,4.1394945537534245,5.035923125181996,5.60020883946771,5.360923125181996,4.535923125181996,4.503780268039138,5.568065982324852,5.414494553753424,4.996637410896281,5.235923125181996,4.932351696610567,5.407351696610567,5.22520883946771,5.035923125181996,5.228780268039139,5.168065982324853,6.246637410896281,4.482351696610567,5.5787802680391385,4.939494553753424,5.746637410896281,5.418065982324853,4.868065982324853,4.496637410896281,5.471637410896281,5.757351696610567,5.610923125181996,5.27520883946771,5.064494553753424,4.657351696610567,5.289494553753424,4.832351696610567,4.903780268039139,4.37520883946771,6.628780268039138,6.210923125181996,4.664494553753424,4.678780268039138,4.671637410896281,4.464494553753424,4.553780268039138,4.378780268039138,3.989494553753424,5.30020883946771,4.960923125181996,5.9502088394677095,5.057351696610567,4.557351696610567,5.243065982324853,4.721637410896281,5.003780268039138,4.685923125181995,5.521637410896282,5.585923125181996,4.568065982324852,3.864494553753424,5.314494553753424,4.30020883946771,5.564494553753424,5.739494553753424,4.468065982324853,5.089494553753424,4.8859231251819955,4.55020883946771,5.582351696610567,5.146637410896282,4.8859231251819955,4.7002088394677095,4.50020883946771,5.696637410896281,5.17520883946771,5.353780268039138,3.9787802680391384,5.935923125181995,5.464494553753424,4.90020883946771,4.360923125181996,5.128780268039138,5.103780268039139,5.596637410896281,5.857351696610567,5.210923125181996,5.585923125181996,5.035923125181996,5.332351696610567
m,o,l,_,f,r,e,q,_,d,e,t, ,=, ,-,1,0,.,0,3,5,0,0,0,0,0,0,0,0,0,0,1
