01_Radial_Position_fit(um),01_Radial_Stark_shift_fit(MHz)
-53.13492835408014,0.3428885634698365
-52.55992835408017,0.38389611322116535
-51.9849283540802,0.4290756252870073
-51.409928354080236,0.4787525214979579
-50.83492835408027,0.5332649200193689
-50.2599283540803,0.5929624534104243
-49.684928354080334,0.6582048144480614
-49.10992835408037,0.7293600113015006
-48.5349283540804,0.8068023151987939
-47.95992835408043,0.8909098857494672
-47.384928354080465,0.9820620616046014
-46.8099283540805,1.0806363071697553
-46.23492835408053,1.1870048096522448
-45.65992835408056,1.3015307248299675
-45.084928354080596,1.4245640745724777
-44.50992835408063,1.5564373043145132
-43.93492835408066,1.6974605143544768
-43.359928354080694,1.847916384990026
-42.784928354080726,2.008054822061723
-42.20992835408076,2.17808735639141
-41.63492835408079,2.35818133779892
-41.059928354080824,2.5484539717688035
-40.48492835408086,2.748966254313809
-39.90992835408089,2.9597168680270696
-39.33492835408092,3.180636109599819
-38.759928354080955,3.4115799260652815
-38.18492835408099,3.6523241435607705
-37.60992835408102,3.9025589783205348
-37.03492835408105,4.161883924757095
-36.459928354081086,4.429803119691995
-35.88492835408112,4.705721284891602
-35.30992835408115,4.9889403518870665
-34.734928354081184,5.278656873454493
-34.15992835408122,5.573960324957902
-33.58492835408125,5.873832395884677
-33.00992835408128,6.177147367221545
-32.434928354081315,6.4826736637423785
-31.859928354081347,6.789076661748067
-31.28492835408138,7.094922822285255
-30.709928354081413,7.3986852073805185
-30.134928354081445,7.69875042240218
-29.559928354081478,7.993427011385948
-28.98492835408151,8.280955314155435
-28.409928354081543,8.559518774499804
-27.834928354081576,8.827256667744978
-27.25992835408161,9.08227819402078
-26.68492835408164,9.322677860671618
-26.109928354081674,9.54655205390785
-25.534928354081707,9.752016676306884
-24.95992835408174,9.93722570353356
-24.384928354081772,10.100390491068287
-23.809928354081805,10.239799640234159
-23.234928354081838,10.353839212835783
-22.65992835408187,10.441013065699021
-22.084928354081903,10.499963060759814
-21.509928354081936,10.52948889350451
-20.93492835408197,10.52856727289868
-20.359928354082,10.496370179808295
-19.784928354082034,10.432281928622753
-19.209928354082066,10.335914758588657
-18.6349283540821,10.207122687449832
-18.059928354082132,10.046013370489176
-17.484928354082165,9.85295772303358
-16.909928354082197,9.628597083887271
-16.33492835408223,9.3738477208929
-15.759928354082263,9.08990250768966
-15.184928354082295,8.7782296324664
-14.609928354082328,8.440568234734084
-14.03492835408236,8.078920904426207
-13.459928354082393,7.695543018463574
-12.884928354082426,7.292928932709436
-12.309928354082459,6.873795091352581
-11.734928354082491,6.441060160501113
-11.159928354082524,5.997822337423715
-10.584928354082557,5.547334030689779
-10.00992835408259,5.09297414867683
-9.434928354082622,4.6382182737799535
-8.859928354082655,4.186607036439853
-8.284928354082687,3.741713036104719
-7.70992835408272,3.307106684806671
-7.134928354082753,2.8863213725797086
-6.5599283540827855,2.4828183719627126
-5.984928354082818,2.0999519108961864
-5.409928354082851,1.7409348491114
-4.834928354082884,1.4088053924083364
-4.259928354082916,1.1063952719203156
-3.684928354082949,0.8362998015813525
-3.1099283540829816,0.6008502066788116
-2.5349283540830143,0.4020885898384123
-1.959928354083047,0.24174586841534862
-1.3849283540830797,0.12122297952756626
-0.8099283540831124,0.04157560643939527
-0.23492835408314505,0.003502633350893467
0.34007164591682226,0.007338485614204877
0.9150716459167896,0.05304945979148779
1.490071645916757,0.1402340936474863
2.065071645916724,0.26812757102458107
2.6400716459166915,0.4356101014860315
3.215071645916659,0.6412191605393712
3.790071645916626,0.8831654240527548
4.3650716459165935,1.1593521810025844
4.940071645916561,1.4673979627387668
5.515071645916528,1.804662085254843
6.090071645916495,2.168272764153389
6.665071645916463,2.5551574306590426
7.24007164591643,2.9620748516061646
7.815071645916397,3.3856486371592314
8.390071645916365,3.8224017073396523
8.965071645916332,4.268791282342927
9.5400716459163,4.721243962126091
10.115071645916267,5.17619046770229
10.690071645916234,5.6300996297599655
11.265071645916201,6.079511229286097
11.840071645916169,6.521067319377541
12.415071645916136,6.951541686846461
12.990071645916103,7.3678671459664855
13.56507164591607,7.767160394105547
14.140071645916038,8.146744199343045
14.715071645916005,8.504166732734824
15.290071645915972,8.837217901914057
15.86507164591594,9.14394258744224
16.440071645915907,9.422650728007
17.015071645915874,9.671924244483488
17.59007164591584,9.89062083535319
18.16507164591581,10.077874716378194
18.740071645915776,10.233094415190491
19.315071645915744,10.35595776607318
19.89007164591571,10.446404281258113
20.46507164591568,10.504625102196496
21.040071645915646,10.531050757212995
21.615071645915613,10.526336970552313
22.19007164591558,10.491348781975672
22.765071645915548,10.427143245751715
23.340071645915515,10.334950983177455
23.915071645915482,10.216156863799277
24.49007164591545,10.072280087487137
25.065071645915417,9.904953932711535
25.640071645915384,9.715905426098677
26.21507164591535,9.506935174952462
26.79007164591532,9.279897588323951
27.365071645915286,9.036681693795638
27.940071645915253,8.779192736858866
28.51507164591522,8.509334728035174
29.090071645915188,8.228994080159284
29.665071645915155,7.940024454926554
30.240071645915123,7.644232914316767
30.81507164591509,7.343367449220251
31.390071645915057,7.039105934864754
31.965071645915025,6.733046540789339
32.54007164591499,6.426699602416829
33.11507164591496,6.121480941979046
33.69007164591493,5.818706608849154
34.265071645914894,5.519588993389936
34.84007164591486,5.225234254351267
35.41507164591483,4.936640987719174
35.990071645914796,4.654700054768557
36.56507164591476,4.380195478900982
37.14007164591473,4.1138063146241075
37.7150716459147,3.8561093876854464
38.290071645914665,3.607582802819967
38.86507164591463,3.36861011469475
39.4400716459146,3.1394850583029226
40.01507164591457,2.9204167371268777
40.590071645914534,2.711535170700477
41.1650716459145,2.5128971075878876
41.74007164591447,2.3244920150961095
42.315071645914436,2.146248163082582
42.890071645914404,1.9780387258450425
43.46507164591437,1.8196878331306963
44.04007164591434,1.6709765086262338
44.615071645914306,1.5316484417501421
45.19007164591427,1.401415546036404
45.76507164591424,1.2799632647591028
46.34007164591421,1.166955591599266
46.915071645914175,1.0620397810110378
47.49007164591414,0.9648507294306068
48.06507164591411,0.8750150145287391
48.64007164591408,0.7921545852904199
49.215071645914044,0.7158901007797785
49.79007164591401,0.6458439199942358
