01_Radial_Position_fit(um),01_Radial_Stark_shift_fit(MHz)
-53.57809404694238,0.43237465676145304
-53.00309404694242,0.48994247698354415
-52.42809404694245,0.5541672752541167
-51.85309404694249,0.6256699882839492
-51.27809404694251,0.705108751977451
-50.70309404694255,0.7931782784917263
-50.12809404694258,0.8906087410898486
-49.55309404694262,0.9981641100881521
-48.978094046942644,1.1166398831141653
-48.403094046942684,1.246860153743657
-47.82809404694271,1.3896739644926526
-47.25309404694275,1.5459508932198744
-46.678094046942775,1.7165758263566453
-46.103094046942815,1.902442878124347
-45.52809404694284,2.1044484221096824
-44.95309404694288,2.323483210312833
-44.378094046942905,2.560423565109605
-43.803094046942945,2.8161216414959074
-43.22809404694297,3.0913947705025984
-42.65309404694301,3.387013909738564
-42.078094046943036,3.7036912435606784
-41.503094046943076,4.042066993262515
-40.9280940469431,4.402695516758487
-40.35309404694314,4.786030797311676
-39.77809404694317,5.192411441662188
-39.20309404694321,5.622045329164022
-38.62809404694323,6.074994074893322
-38.05309404694327,6.55115749076915
-37.4780940469433,7.050258249110902
-36.90309404694334,7.571826972291339
-36.32809404694336,8.115187989751133
-35.7530940469434,8.679446019118593
-35.17809404694343,9.263474041015153
-34.60309404694347,9.86590264680848
-34.028094046943494,10.485111144595612
-33.453094046943534,11.11922071057444
-32.87809404694356,11.76608987024177
-32.3030940469436,12.423312586136968
-31.728094046943628,13.088219215787428
-31.15309404694366,13.757880584836197
-30.578094046943693,14.429115395858423
-30.003094046943726,15.098501163017335
-29.42809404694376,15.762388826495831
-28.85309404694379,16.41692115870981
-28.278094046943824,17.05805502693402
-27.703094046943857,17.681587524551478
-27.12809404694389,18.283185926209768
-26.553094046943922,18.85842136140191
-25.978094046943955,19.402806037187087
-25.403094046943988,19.91183377485305
-24.82809404694402,20.381023558337052
-24.253094046944053,20.805965725306578
-23.678094046944086,21.182370366179228
-23.10309404694412,21.506117433321393
-22.52809404694415,21.773308003537526
-21.953094046944184,21.980316083089814
-21.378094046944216,22.123840297205152
-20.80309404694425,22.200954766621837
-20.228094046944282,22.209158443421515
-19.653094046944314,22.146422158297415
-19.078094046944347,22.01123262251017
-18.50309404694438,21.802632630897275
-17.928094046944413,21.520256728062577
-17.353094046944445,21.164361628693683
-16.778094046944478,20.735850725020917
-16.20309404694451,20.236292069671688
-15.628094046944543,19.66792929025588
-15.053094046944576,19.033684972340435
-14.478094046944609,18.337156139161063
-13.903094046944641,17.582601558340812
-13.328094046944674,16.774920716649195
-12.753094046944707,15.919624421818456
-12.17809404694474,15.022797113802135
-11.603094046944772,14.091051094601598
-11.028094046944805,13.131473013741621
-10.453094046944837,12.151563073383828
-9.87809404694487,11.15916754060584
-9.303094046944903,10.162405272208304
-8.728094046944936,9.169589067242898
-8.153094046944968,8.189142762067943
-7.578094046945001,7.229515070054998
-7.003094046945034,6.299091241193563
-6.428094046945066,5.406103674102019
-5.853094046945099,4.558542652950432
-5.278094046945132,3.7640684034376917
-4.703094046945164,3.029925664478962
-4.128094046945197,2.362861955243154
-3.5530940469452297,1.7690506806005941
-2.9780940469452624,1.254020162243649
-2.403094046945295,0.8225896084516384
-1.8280940469453277,0.4788129437782691
-1.2530940469453604,0.22593131228765778
-0.6780940469453931,0.06633494612045489
-0.10309404694542579,0.0015349571915918598
0.4719059530545415,0.032145466012284754
1.0469059530545088,0.15787633050077443
1.6219059530544762,0.37753658186025846
2.1969059530544435,0.6890485169167436
2.771905953054411,1.0894722395218208
3.346905953054378,1.5750402905146486
3.9219059530543454,2.141201859006285
4.496905953054313,2.7826759299681156
5.07190595305428,3.493512596659462
5.646905953054247,4.267161653468994
6.221905953054215,5.096547487145314
6.796905953054182,5.974149203716278
7.371905953054149,6.892084865864798
7.946905953054117,7.84219867199838
8.521905953054084,8.816149884202561
9.096905953054051,9.80550230780623
9.671905953054019,10.80181314013588
10.246905953053986,11.796720039558748
10.821905953053953,12.782025317131291
11.39690595305392,13.74977622078388
11.971905953053888,14.692340364407071
12.546905953053855,15.60247544963945
13.121905953053822,16.473392534572785
13.69690595305379,17.29881221881569
14.271905953053757,18.073013236118047
14.846905953053724,18.790873071726985
15.421905953053692,19.447900349489192
15.996905953053659,20.040258861144878
16.571905953053626,20.56478323507628
17.146905953053594,21.01898636190881
17.72190595305356,21.401058807913422
18.29690595305353,21.709860552424026
18.871905953053496,21.94490548098655
19.446905953053463,22.10633915046934
20.02190595305343,22.194910414918926
20.596905953053398,22.211937560842667
21.171905953053365,22.159269647410945
21.746905953053332,22.039243780634305
22.3219059530533,21.85463907097882
22.896905953053267,21.608628031470182
23.471905953053234,21.304726168660757
24.0469059530532,20.94674050264845
24.62190595305317,20.53871772556943
25.196905953053136,20.084892671709248
25.771905953053103,19.589637727773535
26.34690595305307,19.05741376019898
26.921905953053038,18.49272307898715
27.496905953053005,17.900064895752617
28.071905953052973,17.283893668830274
28.64690595305294,16.648580661690033
29.221905953052907,15.99837897381144
29.796905953052875,15.337392236747666
30.371905953052842,14.669547103436368
30.94690595305281,13.998569596861573
31.521905953052777,13.32796532578278
32.09690595305274,12.661003521142407
32.671905953052715,12.000704797525648
33.246905953052675,11.349832500126176
33.82190595305265,10.710887459384141
34.39690595305261,10.086105942997499
34.971905953052584,9.477460568428901
35.546905953052544,8.886663918291656
36.12190595305252,8.31517458594985
36.69690595305248,7.764205369067891
37.27190595305245,7.234733324376132
37.84690595305241,6.727511397196307
38.42190595305239,6.243081343859327
38.99690595305235,5.781787673573784
39.57190595305232,5.343792348067706
40.14690595305228,4.929089991916157
